"applicantsCount","companyName","descriptionHtml","descriptionText","location","postedAt","title"
"200","Bobobox","This role is part of the <strong>Design Team</strong> within the <strong>Product Design and Manufacturing Division</strong>. The Interior Designer is <strong>skilled in planning the space to make both large and compact areas more purposeful and efficient</strong>. The work spans the entire process from <strong>research and concept development</strong> to <strong>detailed design and realization</strong> in close collaboration with <strong>engineering and manufacturing teams</strong> to ensure clarity, purpose, and precision in every detail.<br><br><strong>What you will do:<br><br></strong><ul><li>Conduct product research to identify user needs, materials, and design opportunities.</li><li>Develop interior design concepts that balance aesthetics, function, and manufacturability.</li><li>Translate concepts into detailed design solutions.</li><li>Collaborate with engineering and manufacturing teams to ensure design feasibility and quality during product realization.</li><li>Support prototype evaluation and refinement to achieve final product standards.<br><br></li></ul><strong>You will fit in this job if you:<br><br></strong><ul><li>Bachelor’s degree in Interior Design, Architecture, or a related field.</li><li>1–2 years of experience in interior or product-related design (fresh graduates with strong portfolios are welcomed).</li><li>Proficient in SketchUp, Adobe Illustrator, and rendering software (KeyShot, Enscape, or V-Ray).</li><li>Strong understanding of materials, furniture detailing, and spatial layout.</li><li>Strong visualization and presentation skills.</li><li>Ability to interpret and translate design direction into tangible outputs.</li><li>Good communication and collaboration skills for cross-functional teamwork.</li><li>Detail-oriented, proactive, and eager to learn within a fast-paced design and manufacturing environment.</li></ul>","This role is part of the Design Team within the Product Design and Manufacturing Division. The Interior Designer is skilled in planning the space to make both large and compact areas more purposeful and efficient. The work spans the entire process from research and concept development to detailed design and realization in close collaboration with engineering and manufacturing teams to ensure clarity, purpose, and precision in every detail.What you will do:Conduct product research to identify user needs, materials, and design opportunities.Develop interior design concepts that balance aesthetics, function, and manufacturability.Translate concepts into detailed design solutions.Collaborate with engineering and manufacturing teams to ensure design feasibility and quality during product realization.Support prototype evaluation and refinement to achieve final product standards.You will fit in this job if you:Bachelor’s degree in Interior Design, Architecture, or a related field.1–2 years of experience in interior or product-related design (fresh graduates with strong portfolios are welcomed).Proficient in SketchUp, Adobe Illustrator, and rendering software (KeyShot, Enscape, or V-Ray).Strong understanding of materials, furniture detailing, and spatial layout.Strong visualization and presentation skills.Ability to interpret and translate design direction into tangible outputs.Good communication and collaboration skills for cross-functional teamwork.Detail-oriented, proactive, and eager to learn within a fast-paced design and manufacturing environment.","Kecamatan Bandung Kulon, West Java, Indonesia","2025-10-24","Interior Design"
"30","PT Astra International Tbk","<strong>Deskripsi Pekerjaan<br><br></strong><ul><li>Job Deskripsi: Membantu data entri dan dokumentasi keuangan, membantu proses rekonsiliasi dan validasi data, mengelola dan mengorganisir dokumen digital dan fisik, serta berkoordinasi dengan tim terkait untuk kebutuhan administratif di departemen FATB.</li><li>Periode magang: 6 Bulan</li><li>Skema magang: WFO<br><br></li></ul><strong>Persyaratan<br><br></strong><ul><li> Jurusan: S1 Akuntansi, Manajemen, Ilmu Ekonomi Semester: 6 atau 8</li><li>Kriteria hard skills: Mampu melakukan pengolahan data melalui Ms. Office </li><li>Kriteria soft skills: Detail oriented, komunikasi baik dan team player. </li><li>Kriteria Lainnya:Bersedia ditempatkan di Head Office (Jakarta Timur) selama periode 6 bulan</li></ul>","Deskripsi PekerjaanJob Deskripsi: Membantu data entri dan dokumentasi keuangan, membantu proses rekonsiliasi dan validasi data, mengelola dan mengorganisir dokumen digital dan fisik, serta berkoordinasi dengan tim terkait untuk kebutuhan administratif di departemen FATB.Periode magang: 6 BulanSkema magang: WFOPersyaratan Jurusan: S1 Akuntansi, Manajemen, Ilmu Ekonomi Semester: 6 atau 8Kriteria hard skills: Mampu melakukan pengolahan data melalui Ms. Office Kriteria soft skills: Detail oriented, komunikasi baik dan team player. Kriteria Lainnya:Bersedia ditempatkan di Head Office (Jakarta Timur) selama periode 6 bulan","Jakarta, Jakarta, Indonesia","2025-12-02","AIF - KPP MINING - FAT Intern"
"176","PT. Computrade Technology International (CTI Group)","<ul><li>Assist in creating and organizing project documents.</li><li>Collect and prepare required data or documents for the technical team.</li><li>Provide administrative support to the technical team to help daily operations run smoothly.<br><br></li></ul><strong>Minimum Qualifications<br><br></strong><ul><li>Minimum education Vocational High School (SMK) majoring in Computer and Network Engineering (TKJ), or Diploma (D3) / Bachelor’s Degree (S1) in a related field such as: Informatics Engineering, Computer Science, Electrical Engineering, Information Systems, Information Technology or other relevant discipline.</li><li>Ability to prepare reports, documentation, and administrative data using MS Office tools (Word, Excel, PowerPoint).</li><li>Strong problem-solving ability and attention to detail</li><li>Good time management and ability to prioritize tasks</li></ul>","Assist in creating and organizing project documents.Collect and prepare required data or documents for the technical team.Provide administrative support to the technical team to help daily operations run smoothly.Minimum QualificationsMinimum education Vocational High School (SMK) majoring in Computer and Network Engineering (TKJ), or Diploma (D3) / Bachelor’s Degree (S1) in a related field such as: Informatics Engineering, Computer Science, Electrical Engineering, Information Systems, Information Technology or other relevant discipline.Ability to prepare reports, documentation, and administrative data using MS Office tools (Word, Excel, PowerPoint).Strong problem-solving ability and attention to detailGood time management and ability to prioritize tasks","Jakarta, Jakarta, Indonesia","2025-12-05","Technical Administrator"
"58","Ruangguru for Business","<strong>Job Descriptions<br><br></strong><ul><li>Collaborate closely with social media, marketing (ads &amp; SEO) and RG Privat supporting team (designer) to increase the number of customer leads for Privat Online product.</li><li>Collaborate closely with product-development team to increase conversion from traffic to customer leads for Privat Online product.</li><li>Conduct learning call with respondents (Private student / parents / sales agent / teachers) to gather insights to support business strategy and development</li><li>Providing ops support for regional team help-center (similar to product ops role)<br><br></li></ul><strong>Job Requirements<br><br></strong><ul><li>Bachelor's degree in relevant field</li><li>⁠Critical thinking and problem-solving abilities are non-negotiable</li><li>Experience as ops support or product-related is a plus</li><li>Has a growth mindset and good ownership</li><li>Solid understanding of business metrics and KPIs</li><li>Strong project - management, interpersonal, and communication skills</li></ul>","Job DescriptionsCollaborate closely with social media, marketing (ads &amp; SEO) and RG Privat supporting team (designer) to increase the number of customer leads for Privat Online product.Collaborate closely with product-development team to increase conversion from traffic to customer leads for Privat Online product.Conduct learning call with respondents (Private student / parents / sales agent / teachers) to gather insights to support business strategy and developmentProviding ops support for regional team help-center (similar to product ops role)Job RequirementsBachelor's degree in relevant field⁠Critical thinking and problem-solving abilities are non-negotiableExperience as ops support or product-related is a plusHas a growth mindset and good ownershipSolid understanding of business metrics and KPIsStrong project - management, interpersonal, and communication skills","Jakarta Metropolitan Area","2025-11-28","Business Operations & Development - Ruangguru Privat (G1)"
"200","ASDF.ID","<strong>Kami mencari kandidat terbaik untuk mengisi posisi inti dalam tim dengan posisi : IT Technical Support<br><br></strong><strong>Dengan Tanggung Jawab<br><br></strong><ul><li>Melakukan kegiatan troubleshooting masalah teknis di customer</li><li>Melakukan kunjungan rutin terkait support teknis di customer</li><li>Mengidentifikasi masalah teknis di customer dan mencarikan solusi terbaik</li><li>Memastikan problem teknis di customer dapat terhandel dengan baik<br><br></li></ul><strong>Kualifikasi<br><br></strong><ul><li>Freshgraduate dipersilakan melamar</li><li>Memiliki pengalaman diposisi sejenis merupakan nilai lebih</li><li>Memahami Networking beserta troubleshootingnya</li><li>Memahami OS Linux dan juga troubleshootingnya</li><li>Minimal SMK jurusan TKJ</li><li>Memiliki kendaraan sendiri lebih disenangi<br><br></li></ul><strong>Benefit Lain<br><br></strong><ul><li>Hari kerja Senin-Jumat</li><li>Jenjang Karir<br><br></li></ul><strong>Apabila Anda adalah pribadi yang kami butuhkan, silahkan apply lamaran untuk mengikuti tahap tes online</strong>","Kami mencari kandidat terbaik untuk mengisi posisi inti dalam tim dengan posisi : IT Technical SupportDengan Tanggung JawabMelakukan kegiatan troubleshooting masalah teknis di customerMelakukan kunjungan rutin terkait support teknis di customerMengidentifikasi masalah teknis di customer dan mencarikan solusi terbaikMemastikan problem teknis di customer dapat terhandel dengan baikKualifikasiFreshgraduate dipersilakan melamarMemiliki pengalaman diposisi sejenis merupakan nilai lebihMemahami Networking beserta troubleshootingnyaMemahami OS Linux dan juga troubleshootingnyaMinimal SMK jurusan TKJMemiliki kendaraan sendiri lebih disenangiBenefit LainHari kerja Senin-JumatJenjang KarirApabila Anda adalah pribadi yang kami butuhkan, silahkan apply lamaran untuk mengikuti tahap tes online","Kelapa Gading, Jakarta, Indonesia","2025-01-10","Lowongan Junior IT Technical Support Jakarta | ASDF.ID"
"42","PT. Mastersystem Infotama","<ul><li>Primary responsibility is to implement and maintain the security system project.</li><li>Troubleshoots and resolves advanced, complex system access, and connectivity problems through the use of advanced system utilities.</li><li>Prepares systems specifications and technical documentation for implementation project.</li><li>Acquires, tests, applies system software/hardware updates, releases and patches.</li><li>Conducts advanced diagnostics and troubleshoots, system software and hardware and ability to provide root cause analysis.</li><li>Gathers and documents user requirements.</li><li>Develops complex system designs.</li><li>Contributes to team effort by accomplishing related result as needed.<br><br></li></ul><strong>Minimum Qualifications<br><br></strong><ul><li>Min. 3 years experience in the same position</li><li>Expertise in Checkpoint</li><li>Primary responsibility is to implement and maintain the security system project.</li><li>Troubleshoots and resolves advanced, complex system access, and connectivity problems through the use of advanced system utilities.</li><li>Prepares systems specifications and technical documentation for implementation project.</li><li>Acquires, tests, applies system software/hardware updates, releases and patches.</li><li>Conducts advanced diagnostics and troubleshoots, system software and hardware and ability to provide root cause analysis.</li><li>Gathers and documents user requirements.</li><li>Develops complex system designs.</li><li>Contributes to team effort by accomplishing related result as needed.</li></ul>","Primary responsibility is to implement and maintain the security system project.Troubleshoots and resolves advanced, complex system access, and connectivity problems through the use of advanced system utilities.Prepares systems specifications and technical documentation for implementation project.Acquires, tests, applies system software/hardware updates, releases and patches.Conducts advanced diagnostics and troubleshoots, system software and hardware and ability to provide root cause analysis.Gathers and documents user requirements.Develops complex system designs.Contributes to team effort by accomplishing related result as needed.Minimum QualificationsMin. 3 years experience in the same positionExpertise in CheckpointPrimary responsibility is to implement and maintain the security system project.Troubleshoots and resolves advanced, complex system access, and connectivity problems through the use of advanced system utilities.Prepares systems specifications and technical documentation for implementation project.Acquires, tests, applies system software/hardware updates, releases and patches.Conducts advanced diagnostics and troubleshoots, system software and hardware and ability to provide root cause analysis.Gathers and documents user requirements.Develops complex system designs.Contributes to team effort by accomplishing related result as needed.","Jakarta, Indonesia","2025-11-14","Network Security Engineer Checkpoint"
"200","PT.Enseval Putera Megatrading Tbk","<strong>Responsibilities<br><br></strong><ul><li>Membantu membangun dan mengembangkan tampilan website atau web app menggunakan framework seperti React.js, Next.js, atau Vue.js</li><li>Mengimplementasikan desain dari tim UI/UX ke dalam kode front-end yang responsif dan interaktif.</li><li>Berkolaborasi dengan Backend Developer untuk mengintegrasikan API dan data ke dalam tampilan web.</li><li>Melakukan testing dan debugging pada tampilan website untuk memastikan kompatibilitas lintas browser dan perangkat.</li><li>Membantu meningkatkan performa dan optimasi halaman web.</li><li>Menulis kode yang terstruktur, rapi, dan terdokumentasi dengan baik<br><br></li></ul><strong>Requirements<br><br></strong><ul><li>Memiliki pengetahuan dasar tentang HTML, CSS, dan JavaScript (ES6+)</li><li>Familiar dengan salah satu framework front-end seperti React.js, Next.js, atau Vue.js</li><li>Memahami dasar version control (Git/GitHub/GitLab)</li><li>Memiliki pemahaman tentang responsive design dan prinsip dasar UX/UI.</li><li>Mampu bekerja dalam tim dan berkomunikasi dengan baik.</li><li>Penempatan Pulo Gadung, Jakarta Timur</li></ul>","ResponsibilitiesMembantu membangun dan mengembangkan tampilan website atau web app menggunakan framework seperti React.js, Next.js, atau Vue.jsMengimplementasikan desain dari tim UI/UX ke dalam kode front-end yang responsif dan interaktif.Berkolaborasi dengan Backend Developer untuk mengintegrasikan API dan data ke dalam tampilan web.Melakukan testing dan debugging pada tampilan website untuk memastikan kompatibilitas lintas browser dan perangkat.Membantu meningkatkan performa dan optimasi halaman web.Menulis kode yang terstruktur, rapi, dan terdokumentasi dengan baikRequirementsMemiliki pengetahuan dasar tentang HTML, CSS, dan JavaScript (ES6+)Familiar dengan salah satu framework front-end seperti React.js, Next.js, atau Vue.jsMemahami dasar version control (Git/GitHub/GitLab)Memiliki pemahaman tentang responsive design dan prinsip dasar UX/UI.Mampu bekerja dalam tim dan berkomunikasi dengan baik.Penempatan Pulo Gadung, Jakarta Timur","East Jakarta, Jakarta, Indonesia","2025-10-28","Frontend Developer Intern"
"161","BOSNET Distribution Indonesia","<strong>Responsibilities<br><br></strong><ul><li>Installing and configuring computer hardware, software, systems, networks, printers, and scanners.</li><li>Monitoring and maintaining computer systems and networks</li><li>Manage IT infrastructure, system monitoring and reports</li><li>Implement and monitor office IT security and antivirus</li><li>Other duties include performing first level troubleshooting and support for scheduled server backups<br><br></li></ul><strong>Requirements<br><br></strong><ul><li>Minimum finished the vocational course or diploma in Information Technology and RPL related major.</li><li>Strong in Database (SQL Query).</li><li>Strong in hardware, software, system, and network management skill.</li><li>Commitment with integrity, problem solving, analytical and good communication.</li><li>Have internship experience will be a plus.</li></ul>","ResponsibilitiesInstalling and configuring computer hardware, software, systems, networks, printers, and scanners.Monitoring and maintaining computer systems and networksManage IT infrastructure, system monitoring and reportsImplement and monitor office IT security and antivirusOther duties include performing first level troubleshooting and support for scheduled server backupsRequirementsMinimum finished the vocational course or diploma in Information Technology and RPL related major.Strong in Database (SQL Query).Strong in hardware, software, system, and network management skill.Commitment with integrity, problem solving, analytical and good communication.Have internship experience will be a plus.","Jakarta, Jakarta, Indonesia","2025-11-28","IT Support Intern"
"181","Lingkar Temu Kabupaten Lestari | Secretariat","<strong>Lowongan Kerja<br><br></strong><strong>Lingkar Temu Kabupaten Lestari<br><br></strong><strong>Posisi</strong> : Project Manager For Organizational Development <strong>Tempat</strong> : Jakarta,Indonesia <strong>Tipe Posisi</strong> : Konsultan<br><br>Kirim<em><strong> Curriculum Vitae (CV)</strong></em> ke alamat email berikut recruitment@kabupatenlestari.org<br><br>paling lambat 07 November 2025 dan diutamakan dapat segera bergabung (<em>ASAP</em>).<br><br>Baca persyaratan dan selengkapnya di sini<br><br>___________________________________________________________________<br><br><strong>Tentang Lingkar Temu Kabupaten Lestari<br><br></strong>Lingkar Temu Kabupaten Lestari (LTKL) adalah asosiasi kabupaten yang dibentuk dan dikelola oleh pemerintah kabupaten, sebagai bagian dari kaukus Asosiasi Pemerintah Kabupaten Seluruh Indonesia (APKASI), demi mewujudkan visi ekonomi lestari yang menjaga lingkungan dan mensejahterakan masyarakat lewat gotong royong multipihak.<br><br>åLTKL bertujuan untuk mendukung pelaksanaan pembangunan berkelanjutan di tingkat kabupaten untuk mendukung agenda prioritas nasional melalui perlindungan fungsi lingkungan dan mensejahterakan masyarakat di wilayah administrasi kabupaten anggota sesuai dengan target nasional.","Lowongan KerjaLingkar Temu Kabupaten LestariPosisi : Project Manager For Organizational Development Tempat : Jakarta,Indonesia Tipe Posisi : KonsultanKirim Curriculum Vitae (CV) ke alamat email berikut recruitment@kabupatenlestari.orgpaling lambat 07 November 2025 dan diutamakan dapat segera bergabung (ASAP).Baca persyaratan dan selengkapnya di sini___________________________________________________________________Tentang Lingkar Temu Kabupaten LestariLingkar Temu Kabupaten Lestari (LTKL) adalah asosiasi kabupaten yang dibentuk dan dikelola oleh pemerintah kabupaten, sebagai bagian dari kaukus Asosiasi Pemerintah Kabupaten Seluruh Indonesia (APKASI), demi mewujudkan visi ekonomi lestari yang menjaga lingkungan dan mensejahterakan masyarakat lewat gotong royong multipihak.åLTKL bertujuan untuk mendukung pelaksanaan pembangunan berkelanjutan di tingkat kabupaten untuk mendukung agenda prioritas nasional melalui perlindungan fungsi lingkungan dan mensejahterakan masyarakat di wilayah administrasi kabupaten anggota sesuai dengan target nasional.","Jakarta, Jakarta, Indonesia","2025-10-23","Project Manager For Organizational Development"
"54","Antikode","As a Project Manager Intern at Antikode, you will have the opportunity to gain hands-on experience in the dynamic field of project management within a creative and fast-paced environment. You will work closely with our Project Management team, assisting in the planning, execution, and delivery of projects that span across various industries<br><br><strong>Job Description<br><br></strong><ul><li>Assist in the development of project plans, timelines, and milestones.</li><li>Collaborate with Project Managers to ensure effective communication and coordination among team members.</li><li>Monitor project progress and update project documentation.</li><li>Maintain accurate and up-to-date project files, ensuring information is readily accessible to team members.</li><li>Support Project Managers in client communication, ensuring clients are informed of project status and updates.</li><li>Assist in preparing project reports and presentations for client meetings.</li><li>Collaborate with UI/UX Designers and software developers to facilitate smooth project workflows.</li><li>Foster a positive and collaborative team environment.</li><li>Identify opportunities for process improvement within project management workflows.</li><li>Provide input on best practices and contribute to the optimization of project management processes.<br><br></li></ul><strong>Job Requirements<br><br></strong><ul><li>Final-year students with no offline classes, recently graduated, or candidates below 1 year of working experience are welcome to apply</li><li>Able to foster interpersonal skills and able to interact with positive energy</li><li>Able to commit to a full-time internship min. 6 months </li><li>Having experience handling basic PM Tools (Jira, Google Suites)</li><li>Fluent in English, written and oral capabilities</li><li>Excellent Communication Skill</li><li>Willing to hybrid work at Bintaro, Tangerang Selatan</li></ul>","As a Project Manager Intern at Antikode, you will have the opportunity to gain hands-on experience in the dynamic field of project management within a creative and fast-paced environment. You will work closely with our Project Management team, assisting in the planning, execution, and delivery of projects that span across various industriesJob DescriptionAssist in the development of project plans, timelines, and milestones.Collaborate with Project Managers to ensure effective communication and coordination among team members.Monitor project progress and update project documentation.Maintain accurate and up-to-date project files, ensuring information is readily accessible to team members.Support Project Managers in client communication, ensuring clients are informed of project status and updates.Assist in preparing project reports and presentations for client meetings.Collaborate with UI/UX Designers and software developers to facilitate smooth project workflows.Foster a positive and collaborative team environment.Identify opportunities for process improvement within project management workflows.Provide input on best practices and contribute to the optimization of project management processes.Job RequirementsFinal-year students with no offline classes, recently graduated, or candidates below 1 year of working experience are welcome to applyAble to foster interpersonal skills and able to interact with positive energyAble to commit to a full-time internship min. 6 months Having experience handling basic PM Tools (Jira, Google Suites)Fluent in English, written and oral capabilitiesExcellent Communication SkillWilling to hybrid work at Bintaro, Tangerang Selatan","Tangerang, Banten, Indonesia","2025-12-08","Project Manager - Internship"
"85","PT. Karsa Buana Lestari","<strong>Kualifikasi<br><br></strong><ul><li> Pendidikan minimal S1 Teknik Komputer, Teknik informatika, Sitem Informasi, Ilmu komputer atau sejenisnya</li><li> Memiliki pengalaman minimal 2 tahun sebagai Web Programmer atau Developer, IT Support, atau Network Support</li><li> Memiliki pengetahuan yang baik serta pernah mengikuti pelatihan terkait dengan Jaringan Komputer, Sistem Operasi, Database, atau Web Server</li><li> Memiliki kemampuan dan menguasai bahasa pemrograman tertentu Fullstack Engineer (backend dan frontend).</li><li> Memiliki kemampuan di dalam membuat web application dengan Framework.</li><li> Memiliki kemampuan dalam konfigurasi dan merawat IT &amp; Network Infrastructure</li><li> Memiliki pengetahuan di dalam Database Programming.</li><li> Memiliki kemampuan dan pengetahuan dalam Network/Database Security.</li><li> Memiliki pengetahuan dan kemampuan mengenai Machine Learning (ML) dan Internet of Things (IoT) lebih diutamakan.</li><li> Memiliki pemikiran analistis yang kuat, berorientasi terhadap detail dan mampu bekerja secara individual (minimum supervision)</li><li> Adaptif dan Mampu bekerja dalam tim<br><br></li></ul><strong>Jobdesc<br><br></strong><ul><li> Melakukan troubleshooting pada hardware maupun software Perusahaan</li><li> Melakukan perbaikan atau pergantian terhadap faulty hardware</li><li> Melakukan troubleshooting dan mampu menyelesaikan permasalahan jaringan termasuk Intranet dan Internet</li><li> Mengkonfigurasi Software Operasi (OS Windows) dan software internal (E-Faktur, CRM), Google Email dan ERP (SAP)</li><li> Menjaga keamanan jaringan dan data dengan memonitor tiap IT asset perusahaan</li><li> Mencatat dan memelihara aset perusahaan (Aset IT)</li><li> Memantau dan memelihara web, jaringan dan server.</li><li> Meningkatkan, menginstal dan mengkonfigurasi perangkat keras dan perangkat lunak baru untuk memenuhi kebutuhan perusahaan.</li><li> Membuat akun pengguna dan melakukan kontrol akses.</li><li> Mengembangkan prosedur pengambilan dan pemulihan data serta mengembangkan prosedur keamanan data.</li><li> Berhubungan dengan vendor perangkat lunak, perangkat keras, pusat data, dan produk lainnya yang bekaitan. Aktif dalam menanggapi insiden atau permintaan.</li></ul>","Kualifikasi Pendidikan minimal S1 Teknik Komputer, Teknik informatika, Sitem Informasi, Ilmu komputer atau sejenisnya Memiliki pengalaman minimal 2 tahun sebagai Web Programmer atau Developer, IT Support, atau Network Support Memiliki pengetahuan yang baik serta pernah mengikuti pelatihan terkait dengan Jaringan Komputer, Sistem Operasi, Database, atau Web Server Memiliki kemampuan dan menguasai bahasa pemrograman tertentu Fullstack Engineer (backend dan frontend). Memiliki kemampuan di dalam membuat web application dengan Framework. Memiliki kemampuan dalam konfigurasi dan merawat IT &amp; Network Infrastructure Memiliki pengetahuan di dalam Database Programming. Memiliki kemampuan dan pengetahuan dalam Network/Database Security. Memiliki pengetahuan dan kemampuan mengenai Machine Learning (ML) dan Internet of Things (IoT) lebih diutamakan. Memiliki pemikiran analistis yang kuat, berorientasi terhadap detail dan mampu bekerja secara individual (minimum supervision) Adaptif dan Mampu bekerja dalam timJobdesc Melakukan troubleshooting pada hardware maupun software Perusahaan Melakukan perbaikan atau pergantian terhadap faulty hardware Melakukan troubleshooting dan mampu menyelesaikan permasalahan jaringan termasuk Intranet dan Internet Mengkonfigurasi Software Operasi (OS Windows) dan software internal (E-Faktur, CRM), Google Email dan ERP (SAP) Menjaga keamanan jaringan dan data dengan memonitor tiap IT asset perusahaan Mencatat dan memelihara aset perusahaan (Aset IT) Memantau dan memelihara web, jaringan dan server. Meningkatkan, menginstal dan mengkonfigurasi perangkat keras dan perangkat lunak baru untuk memenuhi kebutuhan perusahaan. Membuat akun pengguna dan melakukan kontrol akses. Mengembangkan prosedur pengambilan dan pemulihan data serta mengembangkan prosedur keamanan data. Berhubungan dengan vendor perangkat lunak, perangkat keras, pusat data, dan produk lainnya yang bekaitan. Aktif dalam menanggapi insiden atau permintaan.","Pesanggrahan, Jakarta, Indonesia","2025-12-11","IT Support & Tech Support Staff"
"200","DANA Indonesia","<p>About DANA</p><p>DANA is a leading Indonesian digital wallet platform committed to making every transaction simple, secure, and accessible. As a homegrown fintech company, we serve millions across Indonesia with cashless solutions—from payments and transfers to investments. We aim to build a trusted and inclusive financial ecosystem, driven by innovation, collaboration, and continuous learning. Join us and be part of Indonesia’s digital transformation journey!</p><p><br></p><p>What you will do:</p><ul><li>Speed learning about DANA all existing processes and internal documents</li><li>Review department procedure to ensure mandatory contents is available, analyze the relevance of input and out data, and propose any improvements in procedure to align with other relevant process</li><li>Collaborate with process owner and/or department leads/heads to develop and review department’s internal documents</li><li>Maintain internal document registration and arranging regular update for all internal documents</li><li>Working together with Business Enabler and/ or Internal Auditors in documenting improvement points that being agreed by management into internal documents</li><li>Conduct socialization to all departments on internal document standard and having workshop as needed</li><li>Communicate clearly and straight forward using relevant chat in delivering the answer to avoid confusion</li><li>Ability to create dashboards and reports to visualize SOP alignment and internal document renewal status</li><li>Proactively implement AI in delivering works</li><li>Regularly increasing its knowledge and competency in enabling qualified advisories</li></ul><li></li><p>What you will need:</p><ul><li>Minimum 8 years experience with relevant bachelor degree</li><li>Nice to have: Policy and procedure experience across SDLC, tech ops, GRC, data, and development.</li><li>Extensive knowledge in document automation, business process analysis, and AI adopter</li><li>Experience in fast pace working environment</li><li>Possess strong critical thinking and problem solving skill</li><li>Outspoken and ability to drive work completion between document owners is preferred</li><li>Strong knowledge on document controller</li><li>Involves in the activity directly or indirectly with payment operation, business development, customer service, as well as managing third party administration.</li><li>Business process automation experience is preferred</li><li>Familiarity with software development processes, coding languages, network and architecture</li></ul><p><br></p><p>Knowledge &amp; Technical Skills:</p><ul><li>Have strong negotiation skills and ability to handle difficult conversation.</li><li>Humble, embrace change and result driven attitude.</li><li>Have a confident demeanor – even in high stress situations</li><li>Good communication skills both Indonesian and English</li><li>Good knowledge of financial institution industry trends, regulation, business</li></ul><p></p>","About DANADANA is a leading Indonesian digital wallet platform committed to making every transaction simple, secure, and accessible. As a homegrown fintech company, we serve millions across Indonesia with cashless solutions—from payments and transfers to investments. We aim to build a trusted and inclusive financial ecosystem, driven by innovation, collaboration, and continuous learning. Join us and be part of Indonesia’s digital transformation journey!What you will do:Speed learning about DANA all existing processes and internal documentsReview department procedure to ensure mandatory contents is available, analyze the relevance of input and out data, and propose any improvements in procedure to align with other relevant processCollaborate with process owner and/or department leads/heads to develop and review department’s internal documentsMaintain internal document registration and arranging regular update for all internal documentsWorking together with Business Enabler and/ or Internal Auditors in documenting improvement points that being agreed by management into internal documentsConduct socialization to all departments on internal document standard and having workshop as neededCommunicate clearly and straight forward using relevant chat in delivering the answer to avoid confusionAbility to create dashboards and reports to visualize SOP alignment and internal document renewal statusProactively implement AI in delivering worksRegularly increasing its knowledge and competency in enabling qualified advisoriesWhat you will need:Minimum 8 years experience with relevant bachelor degreeNice to have: Policy and procedure experience across SDLC, tech ops, GRC, data, and development.Extensive knowledge in document automation, business process analysis, and AI adopterExperience in fast pace working environmentPossess strong critical thinking and problem solving skillOutspoken and ability to drive work completion between document owners is preferredStrong knowledge on document controllerInvolves in the activity directly or indirectly with payment operation, business development, customer service, as well as managing third party administration.Business process automation experience is preferredFamiliarity with software development processes, coding languages, network and architectureKnowledge &amp; Technical Skills:Have strong negotiation skills and ability to handle difficult conversation.Humble, embrace change and result driven attitude.Have a confident demeanor – even in high stress situationsGood communication skills both Indonesian and EnglishGood knowledge of financial institution industry trends, regulation, business","Jakarta, Indonesia","2025-11-17","SOP Specialist"
"162","PT Propan Raya ICC","<ul><li>]:pointer-events-auto [content-visibility:auto] supports-[content-visibility:auto]:[contain-intrinsic-size:auto_100lvh] scroll-mt-[calc(var(--header-height)+min(200px,max(70px,20svh)))]"" tabindex=""-1"" dir=""auto"" data-turn-id=""request-WEB:a9b594b8-f6b6-4fc8-a204-4ad52ba19920-2"" data-testid=""conversation-turn-6"" data-scroll-anchor=""true"" data-turn=""assistant""&gt;</li><li>Pendidikan minimal S1 Akuntansi atau Komputerisasi Akuntansi.</li><li>Menguasai Excel tingkat lanjut dan software akuntansi (Accurate, SAP, dll).</li><li>Memahami laporan keuangan, budgeting, dan analisis data keuangan.</li><li>Mampu menggunakan Power BI/Tableau untuk visualisasi data.</li><li>Teliti, analitis, dan mampu bekerja dengan tenggat waktu ketat.</li></ul>","]:pointer-events-auto [content-visibility:auto] supports-[content-visibility:auto]:[contain-intrinsic-size:auto_100lvh] scroll-mt-[calc(var(--header-height)+min(200px,max(70px,20svh)))]"" tabindex=""-1"" dir=""auto"" data-turn-id=""request-WEB:a9b594b8-f6b6-4fc8-a204-4ad52ba19920-2"" data-testid=""conversation-turn-6"" data-scroll-anchor=""true"" data-turn=""assistant""&gt;Pendidikan minimal S1 Akuntansi atau Komputerisasi Akuntansi.Menguasai Excel tingkat lanjut dan software akuntansi (Accurate, SAP, dll).Memahami laporan keuangan, budgeting, dan analisis data keuangan.Mampu menggunakan Power BI/Tableau untuk visualisasi data.Teliti, analitis, dan mampu bekerja dengan tenggat waktu ketat.","Tangerang, Banten, Indonesia","2025-11-12","Finance Data Analyst"
