competency_unit,competency_unit_id,competency_unit_en,competency_embedding_text
analytical thinking,berpikir analitis,analytical thinking,berpikir analitis analytical thinking
data-driven,berbasis data,data-driven,berbasis data data-driven
have a good endurance,mempunyai daya tahan yang baik,have a good endurance,mempunyai daya tahan yang baik have a good endurance
fast learned,cepat dipelajari,fast learned,cepat dipelajari fast learned
tend to detail,cenderung detail,tend to detail,cenderung detail tend to detail
structural,struktural,structural,struktural structural
「dx suite」「anydata vision」「anydata forecast」の新規機能開発・改善に携わっていただきます。,"Anda akan terlibat dalam pengembangan dan peningkatan fungsi baru untuk ""dx suite"", ""anydata vision"", dan ""anydata Forecast"".","You will be involved in the development and improvement of new functions for ""dx suite"", ""anydata vision"", and ""anydata forecast"".","Anda akan terlibat dalam pengembangan dan peningkatan fungsi baru untuk ""dx suite"", ""anydata vision"", dan ""anydata Forecast"". You will be involved in the development and improvement of new functions for ""dx suite"", ""anydata vision"", and ""anydata forecast""."
・ai inside らしい開発文化の醸成、浸透,・Menciptakan dan menyebarkan budaya pengembangan yang unik pada AI Inside,・Create and spread a development culture that is unique to AI Inside,・Menciptakan dan menyebarkan budaya pengembangan yang unik pada AI Inside ・Create and spread a development culture that is unique to AI Inside
html,html,html,html
css,css,css,css
javascript / typescript,javascript / skrip ketikan,javascript / typescript,javascript / skrip ketikan javascript / typescript
go / gin,pergi / gin,go / gin,pergi / gin go / gin
python,ular piton,python,ular piton python
terraform / ansible / gitaction,terraform / mungkin / gitaksi,terraform / ansible / gitaction,terraform / mungkin / gitaksi terraform / ansible / gitaction
pattern: microservices / api gateway,pola: layanan mikro/gateway api,pattern: microservices / api gateway,pola: layanan mikro/gateway api pattern: microservices / api gateway
container: docker / kubernetes,wadah: buruh pelabuhan / kubernetes,container: docker / kubernetes,wadah: buruh pelabuhan / kubernetes container: docker / kubernetes
computing : aws alb / ec2 / ecs / eks / lambda,komputasi : aws alb / ec2 / ecs / eks / lambda,computing : aws alb / ec2 / ecs / eks / lambda,komputasi : aws alb / ec2 / ecs / eks / lambda computing : aws alb / ec2 / ecs / eks / lambda
database : aurora,basis data: aurora,database : aurora,basis data: aurora database : aurora
github,github,github,github
slack,kendur,slack,kendur slack
"as a 3d design & animation intern, you will support the team in creating and developing 3d models, animations, and visual content related to machinery, tools, and plantation environments.","sebagai magang desain & animasi 3d, Anda akan mendukung tim dalam membuat dan mengembangkan model 3d, animasi, dan konten visual yang berkaitan dengan mesin, peralatan, dan lingkungan perkebunan.","as a 3d design & animation intern, you will support the team in creating and developing 3d models, animations, and visual content related to machinery, tools, and plantation environments.","sebagai magang desain & animasi 3d, Anda akan mendukung tim dalam membuat dan mengembangkan model 3d, animasi, dan konten visual yang berkaitan dengan mesin, peralatan, dan lingkungan perkebunan. as a 3d design & animation intern, you will support the team in creating and developing 3d models, animations, and visual content related to machinery, tools, and plantation environments."
"you will assist in producing 3d assets, applying textures and materials, animating basic mechanical movements, and preparing rendered visuals for concept presentations.","Anda akan membantu dalam memproduksi aset 3D, menerapkan tekstur dan material, menganimasikan gerakan mekanis dasar, dan menyiapkan visual yang diberikan untuk presentasi konsep.","you will assist in producing 3d assets, applying textures and materials, animating basic mechanical movements, and preparing rendered visuals for concept presentations.","Anda akan membantu dalam memproduksi aset 3D, menerapkan tekstur dan material, menganimasikan gerakan mekanis dasar, dan menyiapkan visual yang diberikan untuk presentasi konsep. you will assist in producing 3d assets, applying textures and materials, animating basic mechanical movements, and preparing rendered visuals for concept presentations."
you will also collaborate with engineers and related teams to ensure technical accuracy and support documentation and reporting of project progress.,Anda juga akan berkolaborasi dengan para insinyur dan tim terkait untuk memastikan keakuratan teknis dan mendukung dokumentasi serta pelaporan kemajuan proyek.,you will also collaborate with engineers and related teams to ensure technical accuracy and support documentation and reporting of project progress.,Anda juga akan berkolaborasi dengan para insinyur dan tim terkait untuk memastikan keakuratan teknis dan mendukung dokumentasi serta pelaporan kemajuan proyek. you will also collaborate with engineers and related teams to ensure technical accuracy and support documentation and reporting of project progress.
"active undergraduate student (with no class to attend) in design, engineering, animation, multimedia, or a related field.","mahasiswa sarjana aktif (tanpa kelas untuk dihadiri) di bidang desain, teknik, animasi, multimedia, atau bidang terkait.","active undergraduate student (with no class to attend) in design, engineering, animation, multimedia, or a related field.","mahasiswa sarjana aktif (tanpa kelas untuk dihadiri) di bidang desain, teknik, animasi, multimedia, atau bidang terkait. active undergraduate student (with no class to attend) in design, engineering, animation, multimedia, or a related field."
"basic understanding of uv mapping, texturing, and rendering","pemahaman dasar tentang pemetaan uv, tekstur, dan rendering","basic understanding of uv mapping, texturing, and rendering","pemahaman dasar tentang pemetaan uv, tekstur, dan rendering basic understanding of uv mapping, texturing, and rendering"
ability to create basic mechanical animations',kemampuan untuk membuat animasi mekanik dasar',ability to create basic mechanical animations',kemampuan untuk membuat animasi mekanik dasar' ability to create basic mechanical animations'
have a basic knowledge / experience using blender.,memiliki pengetahuan/pengalaman dasar menggunakan blender.,have a basic knowledge / experience using blender.,memiliki pengetahuan/pengalaman dasar menggunakan blender. have a basic knowledge / experience using blender.
"proficient in at least one 3d software (autodesk maya, fusion 360, solidworks, or similar).","mahir dalam setidaknya satu perangkat lunak 3d (autodesk maya, fusion 360, solidworks, atau serupa).","proficient in at least one 3d software (autodesk maya, fusion 360, solidworks, or similar).","mahir dalam setidaknya satu perangkat lunak 3d (autodesk maya, fusion 360, solidworks, atau serupa). proficient in at least one 3d software (autodesk maya, fusion 360, solidworks, or similar)."
basic knowledge of motion graphics or video editing is a plus.,pengetahuan dasar tentang grafik gerak atau pengeditan video merupakan nilai tambah.,basic knowledge of motion graphics or video editing is a plus.,pengetahuan dasar tentang grafik gerak atau pengeditan video merupakan nilai tambah. basic knowledge of motion graphics or video editing is a plus.
able to work collaboratively with technical teams.,mampu bekerja secara kolaboratif dengan tim teknis.,able to work collaboratively with technical teams.,mampu bekerja secara kolaboratif dengan tim teknis. able to work collaboratively with technical teams.
"product & packaging modeling: membuat model 3d botol parfum, tutup, sprayer, hingga kemasan luar (box) secara presisi dan realistis sesuai dengan spesifikasi teknis produk.","product & packaging modeling: membuat model 3d botol parfum, tutup, sprayer, hingga kemasan luar (box) secara presisi dan realistis sesuai dengan spesifikasi teknis produk.","product & packaging modeling: create 3D models of perfume bottles, caps, sprayers, and outer packaging (boxes) precisely and realistically according to the product's technical specifications.","product & packaging modeling: membuat model 3d botol parfum, tutup, sprayer, hingga kemasan luar (box) secara presisi dan realistis sesuai dengan spesifikasi teknis produk. product & packaging modeling: create 3D models of perfume bottles, caps, sprayers, and outer packaging (boxes) precisely and realistically according to the product's technical specifications."
"3d motion & simulation: merancang konten motion graphics 3d dan simulasi fisik (seperti simulasi cairan parfum, asap/embun, atau pergerakan lainnya) untuk keperluan iklan digital.","3d motion & simulation: merancang konten motion graphics 3d dan simulasi fisik (seperti simulasi cairan parfum, asap/embun, atau pergerakan lainnya) untuk keperluan iklan digital.","3d motion & simulation: designing 3d motion graphics content and physical simulations (such as simulating perfume fluids, smoke/dew, or other movements) for digital advertising purposes.","3d motion & simulation: merancang konten motion graphics 3d dan simulasi fisik (seperti simulasi cairan parfum, asap/embun, atau pergerakan lainnya) untuk keperluan iklan digital. 3d motion & simulation: designing 3d motion graphics content and physical simulations (such as simulating perfume fluids, smoke/dew, or other movements) for digital advertising purposes."
visual lighting & rendering: mengaplikasikan teori pencahayaan yang sinematik untuk menciptakan hasil render yang sesuai dan memperhatiakn estetika sesuai guidline,visual lighting & rendering: mengaplikasikan teori pencahayaan yang sinematik untuk menciptakan hasil render yang sesuai dan memperhatiakn estetika sesuai guidline,visual lighting & rendering: applying cinematic lighting theory to create appropriate rendering results and paying attention to aesthetics according to the guideline,visual lighting & rendering: mengaplikasikan teori pencahayaan yang sinematik untuk menciptakan hasil render yang sesuai dan memperhatiakn estetika sesuai guidline visual lighting & rendering: applying cinematic lighting theory to create appropriate rendering results and paying attention to aesthetics according to the guideline
graphic design integration: melakukan proses post-processing hasil render menggunakan photoshop serta menyusun layout promosi sederhana melalui canva/photoshop.,graphic design integration: melakukan proses post-processing hasil render menggunakan photoshop serta menyusun layout promosi sederhana melalui canva/photoshop.,graphic design integration: post-processing the rendering results using Photoshop and compiling simple promotional layouts using Canva/Photoshop.,graphic design integration: melakukan proses post-processing hasil render menggunakan photoshop serta menyusun layout promosi sederhana melalui canva/photoshop. graphic design integration: post-processing the rendering results using Photoshop and compiling simple promotional layouts using Canva/Photoshop.
creative collaboration: bekerja sama dengan tim pemasaran untuk menerjemahkan konsep kampanye menjadi visual 3d yang sesuai dengan tren gen z yang sedang berkembang.,creative collaboration: bekerja sama dengan tim pemasaran untuk menerjemahkan konsep kampanye menjadi visual 3d yang sesuai dengan tren gen z yang sedang berkembang.,creative collaboration: working with the marketing team to translate the campaign concept into 3d visuals that suit the growing trends of gen z.,creative collaboration: bekerja sama dengan tim pemasaran untuk menerjemahkan konsep kampanye menjadi visual 3d yang sesuai dengan tren gen z yang sedang berkembang. creative collaboration: working with the marketing team to translate the campaign concept into 3d visuals that suit the growing trends of gen z.
"menguasai software 3d utama (blender, cinema 4d, atau 3ds max).","menguasai software 3d utama (blender, cinema 4d, atau 3ds max).","Master the main 3D software (Blender, Cinema 4D, or 3DS Max).","menguasai software 3d utama (blender, cinema 4d, atau 3ds max). Master the main 3D software (Blender, Cinema 4D, or 3DS Max)."
"memahami teknik texturing, uv unwrapping, dan high-quality rendering.","memahami teknik texturing, uv unwrapping, dan high-quality rendering.","understand texturing techniques, UV unwrapping, and high-quality rendering.","memahami teknik texturing, uv unwrapping, dan high-quality rendering. understand texturing techniques, UV unwrapping, and high-quality rendering."
mampu membuat 3d motion dan simulation yang sesuai guidline.,mampu membuat gerak dan simulasi 3d yang sesuai pedoman.,able to make 3d motion and simulation that fits the guidline.,mampu membuat gerak dan simulasi 3d yang sesuai pedoman. able to make 3d motion and simulation that fits the guidline.
mahir menggunakan adobe photoshop (untuk digital imaging/retouching) dan familiar dengan canva.,mahir menggunakan adobe photoshop (untuk digital imaging/retouching) dan familiar dengan canva.,Proficient in using Adobe Photoshop (for digital imaging/retouching) and familiar with Canva.,mahir menggunakan adobe photoshop (untuk digital imaging/retouching) dan familiar dengan canva. Proficient in using Adobe Photoshop (for digital imaging/retouching) and familiar with Canva.
"memiliki selera desain yang kuat, modern, dan paham estetika visual yang disukai audiens gen z.","memiliki selera desain yang kuat, modern, dan paham estetika visual yang disukai audiens gen z.","has a strong, modern design sense and understands the visual aesthetics that the gen z audience likes.","memiliki selera desain yang kuat, modern, dan paham estetika visual yang disukai audiens gen z. has a strong, modern design sense and understands the visual aesthetics that the gen z audience likes."
prepare and use personal protective equipment in accordance with regulations and procedures,menyiapkan dan menggunakan alat pelindung diri sesuai dengan peraturan dan prosedur,prepare and use personal protective equipment in accordance with regulations and procedures,menyiapkan dan menggunakan alat pelindung diri sesuai dengan peraturan dan prosedur prepare and use personal protective equipment in accordance with regulations and procedures
perform unit construction analysis and incorporate components according to specification,melakukan analisis konstruksi unit dan menggabungkan komponen sesuai spesifikasi,perform unit construction analysis and incorporate components according to specification,melakukan analisis konstruksi unit dan menggabungkan komponen sesuai spesifikasi perform unit construction analysis and incorporate components according to specification
perform input and updates on the infor ln system,melakukan input dan update pada sistem informasi ln,perform input and updates on the infor ln system,melakukan input dan update pada sistem informasi ln perform input and updates on the infor ln system
good knowledge of mechanical design and production processes,pengetahuan yang baik tentang desain mekanik dan proses produksi,good knowledge of mechanical design and production processes,pengetahuan yang baik tentang desain mekanik dan proses produksi good knowledge of mechanical design and production processes
good for mechanical engineering drawings,bagus untuk gambar teknik mesin,good for mechanical engineering drawings,bagus untuk gambar teknik mesin good for mechanical engineering drawings
"good knowledge about international code for pressure vessel (pressure equipment directive, asme, en, as, jis, etc.)","pengetahuan yang baik tentang kode internasional untuk bejana tekan (petunjuk peralatan tekanan, asme, en, as, jis, dll.)","good knowledge about international code for pressure vessel (pressure equipment directive, asme, en, as, jis, etc.)","pengetahuan yang baik tentang kode internasional untuk bejana tekan (petunjuk peralatan tekanan, asme, en, as, jis, dll.) good knowledge about international code for pressure vessel (pressure equipment directive, asme, en, as, jis, etc.)"
english proficiency,kemahiran bahasa Inggris,english proficiency,kemahiran bahasa Inggris english proficiency
checking the completeness and correctness of data in accordance with sales orders (so) and technical data from customers,memeriksa kelengkapan dan kebenaran data sesuai dengan pesanan penjualan (sales order) dan data teknis dari pelanggan,checking the completeness and correctness of data in accordance with sales orders (so) and technical data from customers,memeriksa kelengkapan dan kebenaran data sesuai dengan pesanan penjualan (sales order) dan data teknis dari pelanggan checking the completeness and correctness of data in accordance with sales orders (so) and technical data from customers
make drawings of components and units using technical drawing software in 3d,membuat gambar komponen dan unit menggunakan software gambar teknik dalam bentuk 3d,make drawings of components and units using technical drawing software in 3d,membuat gambar komponen dan unit menggunakan software gambar teknik dalam bentuk 3d make drawings of components and units using technical drawing software in 3d
"mengembangkan model data-driven yang meningkatkan produktivitas operasional,akurasi prediksi produksi, serta otomatisasi berbasis computer vision dalam kontekspertanian dan proses manufaktur hilir (seperti monitoring kualitas produk).","mengembangkan model data-driven yang meningkatkan produktivitas operasional,akurasi prediksi produksi, serta otomatisasi berbasis computer vision dalam kontekspertanian dan proses manufaktur hilir (seperti monitoring kualitas produk).","developing data-driven models that increase operational productivity, accuracy of production predictions, as well as computer vision-based automation in the context of agriculture and downstream manufacturing processes (such as product quality monitoring).","mengembangkan model data-driven yang meningkatkan produktivitas operasional,akurasi prediksi produksi, serta otomatisasi berbasis computer vision dalam kontekspertanian dan proses manufaktur hilir (seperti monitoring kualitas produk). developing data-driven models that increase operational productivity, accuracy of production predictions, as well as computer vision-based automation in the context of agriculture and downstream manufacturing processes (such as product quality monitoring)."
insight yangdihasilkan akan menjadi dasar pengambilan keputusan strategis dan taktis di unitoperasi perkebunan dan pengolahan.,insight yangdihasilkan akan menjadi dasar pengambilan keputusan strategis dan taktis di unitoperasi perkebunan dan pengolahan.,The resulting insights will become the basis for strategic and tactical decision making in plantation and processing operations units.,insight yangdihasilkan akan menjadi dasar pengambilan keputusan strategis dan taktis di unitoperasi perkebunan dan pengolahan. The resulting insights will become the basis for strategic and tactical decision making in plantation and processing operations units.
memahami geographic information system (gis) dan familiar dengan ekosistemcloud services;,memahami geographic information system (gis) dan familiar dengan ekosistemcloud services;,understand geographic information systems (GIS) and are familiar with the cloud services ecosystem;,memahami geographic information system (gis) dan familiar dengan ekosistemcloud services; understand geographic information systems (GIS) and are familiar with the cloud services ecosystem;
"memiliki kemampuan komunikasi yang baik, berpikir kritis, mampu bekerja secaramandiri maupun dalam tim, serta terbiasa melakukan dokumentasi pekerjaan secararapi dan terstruktur.","memiliki kemampuan komunikasi yang baik, berpikir kritis, mampu bekerja secaramandiri maupun dalam tim, serta terbiasa melakukan dokumentasi pekerjaan secararapi dan terstruktur.","have good communication skills, critical thinking, able to work independently or in a team, and accustomed to carrying out work documentation in a neat and structured manner.","memiliki kemampuan komunikasi yang baik, berpikir kritis, mampu bekerja secaramandiri maupun dalam tim, serta terbiasa melakukan dokumentasi pekerjaan secararapi dan terstruktur. have good communication skills, critical thinking, able to work independently or in a team, and accustomed to carrying out work documentation in a neat and structured manner."
melakukan analisis kebutuhan bisnis dan pengguna melalui koordinasi dengan user dan tim terkait.,melakukan analisis kebutuhan bisnis dan pengguna melalui koordinasi dengan user dan tim terkait.,analyzing business and user needs through coordination with users and related teams.,melakukan analisis kebutuhan bisnis dan pengguna melalui koordinasi dengan user dan tim terkait. analyzing business and user needs through coordination with users and related teams.
"menyusun desain solusi sistem (arsitektur aplikasi, flowchart, erd, dan dokumen teknis lainnya).","menyusun desain solusi sistem (arsitektur aplikasi, flowchart, erd, dan dokumen teknis lainnya).","preparing system solution designs (application architecture, flowcharts, ERD, and other technical documents).","menyusun desain solusi sistem (arsitektur aplikasi, flowchart, erd, dan dokumen teknis lainnya). preparing system solution designs (application architecture, flowcharts, ERD, and other technical documents)."
mengembangkan aplikasi mobile menggunakan android studio (java/kotlin).,mengembangkan aplikasi mobile menggunakan android studio (java/kotlin).,Develop mobile applications using Android Studio (Java/Kotlin).,mengembangkan aplikasi mobile menggunakan android studio (java/kotlin). Develop mobile applications using Android Studio (Java/Kotlin).
"mendesain, mengelola, dan mengoptimalkan database oracle untuk mendukung performa aplikasi.","mendesain, mengelola, dan mengoptimalkan database oracle untuk mendukung performa aplikasi.","designing, managing, and optimizing oracle databases to support application performance.","mendesain, mengelola, dan mengoptimalkan database oracle untuk mendukung performa aplikasi. designing, managing, and optimizing oracle databases to support application performance."
melakukan integrasi api dan konektivitas antar modul aplikasi.,melakukan integrasi api dan konektivitas antar modul aplikasi.,perform API integration and connectivity between application modules.,melakukan integrasi api dan konektivitas antar modul aplikasi. perform API integration and connectivity between application modules.
"melakukan pengujian unit, integrasi, dan user acceptance test (uat) untuk memastikan kualitas aplikasi.","melakukan pengujian unit, integrasi, dan user acceptance test (uat) untuk memastikan kualitas aplikasi.","perform unit testing, integration, and user acceptance tests (uat) to ensure application quality.","melakukan pengujian unit, integrasi, dan user acceptance test (uat) untuk memastikan kualitas aplikasi. perform unit testing, integration, and user acceptance tests (uat) to ensure application quality."
menyusun dokumentasi teknis dan melakukan proses handover ke tim operasional.,menyusun dokumentasi teknis dan melakukan proses handover ke tim operasional.,prepare technical documentation and carry out the handover process to the operational team.,menyusun dokumentasi teknis dan melakukan proses handover ke tim operasional. prepare technical documentation and carry out the handover process to the operational team.
"memberikan dukungan teknis, melakukan troubleshooting, serta perbaikan bug pada aplikasi yang telah berjalan.","memberikan dukungan teknis, melakukan troubleshooting, serta perbaikan bug pada aplikasi yang telah berjalan.","providing technical support, carrying out troubleshooting, and fixing bugs in running applications.","memberikan dukungan teknis, melakukan troubleshooting, serta perbaikan bug pada aplikasi yang telah berjalan. providing technical support, carrying out troubleshooting, and fixing bugs in running applications."
memiliki pengetahuan dan kemampuan dalam pengembangan webmenggunakan php framework terkait (mis.,memiliki pengetahuan dan kemampuan dalam pengembangan webmenggunakan php framework terkait (mis.,"have knowledge and skills in web development using related PHP frameworks (eg Laravel, CodeIgniter)","memiliki pengetahuan dan kemampuan dalam pengembangan webmenggunakan php framework terkait (mis. have knowledge and skills in web development using related PHP frameworks (eg Laravel, CodeIgniter)"
"laravel, codeigniter)","laravel, codeigniter)","have knowledge and skills in web development using related PHP frameworks (eg Laravel, CodeIgniter)","laravel, codeigniter) have knowledge and skills in web development using related PHP frameworks (eg Laravel, CodeIgniter)"
menguasai pengembangan aplikasi mobile menggunakan androidstudio.,menguasai pengembangan aplikasi mobile menggunakan androidstudio.,Master mobile application development using Android Studio.,menguasai pengembangan aplikasi mobile menggunakan androidstudio. Master mobile application development using Android Studio.
memahami siklus pengembangan perangkat lunak (softwaredevelopment lifecycle / sdlc).,memahami siklus pengembangan perangkat lunak (softwaredevelopment lifecycle / sdlc).,understand the software development lifecycle (sdlc).,memahami siklus pengembangan perangkat lunak (softwaredevelopment lifecycle / sdlc). understand the software development lifecycle (sdlc).
memiliki kemampuan analitis dan problem solving yang baik.,memiliki kemampuan analitis dan problem solving yang baik.,have good analytical and problem solving skills.,memiliki kemampuan analitis dan problem solving yang baik. have good analytical and problem solving skills.
"mampu bekerja secara mandiri maupun dalam tim, sertamemiliki komunikasi yang baik","mampu bekerja secara mandiri maupun dalam tim, sertamemiliki komunikasi yang baik","Able to work independently or in a team, and have good communication","mampu bekerja secara mandiri maupun dalam tim, sertamemiliki komunikasi yang baik Able to work independently or in a team, and have good communication"
"pengalaman menggunakan git atau sistem version controllainnya, restful api, atau docker.","pengalaman menggunakan git atau sistem kontrol versinya, restful api, atau buruh pelabuhan.","experience using git or its version control system, restful api, or docker.","pengalaman menggunakan git atau sistem kontrol versinya, restful api, atau buruh pelabuhan. experience using git or its version control system, restful api, or docker."
familiar dengan prinsip ui/ux dasar.,familiar dengan prinsip ui/ux dasar.,familiar with basic ui/ux principles.,familiar dengan prinsip ui/ux dasar. familiar with basic ui/ux principles.
"conduct end-to-end design processes from understanding business and user needs, creating concepts, wireframes, prototypes, to final ui designs ready for implementation.","melakukan proses desain end-to-end mulai dari memahami kebutuhan bisnis dan pengguna, membuat konsep, wireframe, prototipe, hingga desain ui akhir yang siap diimplementasikan.","conduct end-to-end design processes from understanding business and user needs, creating concepts, wireframes, prototypes, to final ui designs ready for implementation.","melakukan proses desain end-to-end mulai dari memahami kebutuhan bisnis dan pengguna, membuat konsep, wireframe, prototipe, hingga desain ui akhir yang siap diimplementasikan. conduct end-to-end design processes from understanding business and user needs, creating concepts, wireframes, prototypes, to final ui designs ready for implementation."
"develop and present design solutions to stakeholders, ensuring alignment with business goals and user needs.","mengembangkan dan menyajikan solusi desain kepada pemangku kepentingan, memastikan keselarasan dengan tujuan bisnis dan kebutuhan pengguna.","develop and present design solutions to stakeholders, ensuring alignment with business goals and user needs.","mengembangkan dan menyajikan solusi desain kepada pemangku kepentingan, memastikan keselarasan dengan tujuan bisnis dan kebutuhan pengguna. develop and present design solutions to stakeholders, ensuring alignment with business goals and user needs."
"create user flows, journey maps, wireframes, and prototypes to visualize and validate ideas.","membuat alur pengguna, peta perjalanan, gambar rangka, dan prototipe untuk memvisualisasikan dan memvalidasi ide.","create user flows, journey maps, wireframes, and prototypes to visualize and validate ideas.","membuat alur pengguna, peta perjalanan, gambar rangka, dan prototipe untuk memvisualisasikan dan memvalidasi ide. create user flows, journey maps, wireframes, and prototypes to visualize and validate ideas."
develop high-fidelity ui designs that align with ux/ui best practices.,mengembangkan desain ui dengan ketelitian tinggi yang selaras dengan praktik terbaik ux/ui.,develop high-fidelity ui designs that align with ux/ui best practices.,mengembangkan desain ui dengan ketelitian tinggi yang selaras dengan praktik terbaik ux/ui. develop high-fidelity ui designs that align with ux/ui best practices.
"support implementation with the engineering team by ensuring the final output matches the design through design handoff, design qa, and effective communication.","mendukung implementasi dengan tim teknik dengan memastikan hasil akhir sesuai dengan desain melalui handoff desain, qa desain, dan komunikasi yang efektif.","support implementation with the engineering team by ensuring the final output matches the design through design handoff, design qa, and effective communication.","mendukung implementasi dengan tim teknik dengan memastikan hasil akhir sesuai dengan desain melalui handoff desain, qa desain, dan komunikasi yang efektif. support implementation with the engineering team by ensuring the final output matches the design through design handoff, design qa, and effective communication."
"creating, updating, and documenting ui components.","membuat, memperbarui, dan mendokumentasikan komponen ui.","creating, updating, and documenting ui components.","membuat, memperbarui, dan mendokumentasikan komponen ui. creating, updating, and documenting ui components."
ensuring consistency across platforms and squads.,memastikan konsistensi di seluruh platform dan regu.,ensuring consistency across platforms and squads.,memastikan konsistensi di seluruh platform dan regu. ensuring consistency across platforms and squads.
collaborating with interaction designers/design system owners to refine components.,berkolaborasi dengan desainer interaksi/pemilik sistem desain untuk menyempurnakan komponen.,collaborating with interaction designers/design system owners to refine components.,berkolaborasi dengan desainer interaksi/pemilik sistem desain untuk menyempurnakan komponen. collaborating with interaction designers/design system owners to refine components.
identifying gaps in the design system and proposing improvements.,mengidentifikasi kesenjangan dalam sistem desain dan mengusulkan perbaikan.,identifying gaps in the design system and proposing improvements.,mengidentifikasi kesenjangan dalam sistem desain dan mengusulkan perbaikan. identifying gaps in the design system and proposing improvements.
"iterate on designs based on feedback, data, and usability testing results to improve user experience quality.","ulangi desain berdasarkan umpan balik, data, dan hasil pengujian kegunaan untuk meningkatkan kualitas pengalaman pengguna.","iterate on designs based on feedback, data, and usability testing results to improve user experience quality.","ulangi desain berdasarkan umpan balik, data, dan hasil pengujian kegunaan untuk meningkatkan kualitas pengalaman pengguna. iterate on designs based on feedback, data, and usability testing results to improve user experience quality."
"keep up with design trends, technology, and best practices to continuously enhance product design quality.","mengikuti tren desain, teknologi, dan praktik terbaik untuk terus meningkatkan kualitas desain produk.","keep up with design trends, technology, and best practices to continuously enhance product design quality.","mengikuti tren desain, teknologi, dan praktik terbaik untuk terus meningkatkan kualitas desain produk. keep up with design trends, technology, and best practices to continuously enhance product design quality."
"actively participate in brainstorming sessions, co-design workshops, or design critiques to generate creative and data-driven design solutions.","berpartisipasi aktif dalam sesi curah pendapat, lokakarya desain bersama, atau kritik desain untuk menghasilkan solusi desain yang kreatif dan berbasis data.","actively participate in brainstorming sessions, co-design workshops, or design critiques to generate creative and data-driven design solutions.","berpartisipasi aktif dalam sesi curah pendapat, lokakarya desain bersama, atau kritik desain untuk menghasilkan solusi desain yang kreatif dan berbasis data. actively participate in brainstorming sessions, co-design workshops, or design critiques to generate creative and data-driven design solutions."
"document design processes, design decisions, and guidelines for internal knowledge sharing.","proses desain dokumen, keputusan desain, dan pedoman untuk berbagi pengetahuan internal.","document design processes, design decisions, and guidelines for internal knowledge sharing.","proses desain dokumen, keputusan desain, dan pedoman untuk berbagi pengetahuan internal. document design processes, design decisions, and guidelines for internal knowledge sharing."
"proficient in design tools: figma (primary), adobe creative suite, or other supporting tools.","mahir dalam design tools: figma (primer), adobe creative suite, atau tools pendukung lainnya.","proficient in design tools: figma (primary), adobe creative suite, or other supporting tools.","mahir dalam design tools: figma (primer), adobe creative suite, atau tools pendukung lainnya. proficient in design tools: figma (primary), adobe creative suite, or other supporting tools."
"understands ux/ui principles, design thinking, and user-centered design.","memahami prinsip-prinsip ux/ui, pemikiran desain, dan desain yang berpusat pada pengguna.","understands ux/ui principles, design thinking, and user-centered design.","memahami prinsip-prinsip ux/ui, pemikiran desain, dan desain yang berpusat pada pengguna. understands ux/ui principles, design thinking, and user-centered design."
